4000 30000
649 1973 635859
405 1084 535448
420 1694 802402
88 1831 779850
1882 3757 966754
1605 2489 873942
192 1086 359274
1611 3692 829097
408 1779 92387
1554 2769 593777
1919 2555 820101
2130 3638 900858
1331 1578 497277
332 1770 327108
183 1526 637341
2937 3482 415829
1232 3673 324914
506 3364 958877
1955 3771 516655
2343 2892 914560
472 810 657114
925 3291 589103
869 1783 342433
1200 3413 872202
1382 2521 514080
319 3862 505561
43 1550 213234
957 2407 676949
361 3834 137072
841 3055 799963
3754 3878 393124
803 1220 552414
2324 2585 329634
757 1997 10834
869 1312 408567
1082 3392 456885
1124 1305 578786
2433 2539 133544
2618 3841 433905
913 3811 121311
1228 3564 273189
783 2704 225991
3106 3118 396927
215 1105 283276
1878 3939 212144
506 1621 853578
1744 2925 107053
882 1816 297485
1656 2427 900103
684 2920 947913
499 1995 871828
3184 3202 812610
1527 2671 392068
2455 3775 436282
65 2083 366511
571 2227 664131
157 2666 351055
3211 3547 673222
1048 2325 791229
1151 3008 842148
1355 1416 174998
890 1244 150199
2207 2417 869222
1223 2275 628996
2909 3305 473061
1420 1883 809983
1551 2040 613000
958 1602 460898
2533 2649 487223
152 1762 158582
263 1567 79936
3163 3261 40826
1369 1813 783594
3035 3643 188816
31 2551 572472
322 1444 146706
1872 3427 248745
779 3181 534698
1678 1713 785699
901 3475 901850
3483 3737 863768
3349 3772 26930
950 1161 720298
195 544 852292
578 1712 859194
2021 2536 107515
1242 1800 777738
2340 2578 220919
607 1038 626631
1507 2737 302457
939 1342 90545
708 1113 682246
2414 3638 711406
289 2957 79953
933 1020 416882
128 3555 195254
796 3643 225053
1382 3135 151983
525 2653 920589
1636 3261 534448
94 552 635789
1259 2991 337253
1237 1248 679666
996 1536 962974
949 2469 892345
1831 2596 523899
1085 2590 37046
323 2491 164181
2826 2975 989057
611 3767 264669
1056 2215 409220
398 2356 286478
1635 3961 439726
2630 3979 105613
3305 3930 620081
2112 3650 875028
3548 3549 977970
948 2038 190292
1129 1215 765619
982 2538 330581
3207 3548 703988
428 2256 976385
2216 2906 830019
2547 2984 9000
598 1851 76929
1031 1501 483392
60 1401 390940
2382 2700 540977
180 674 634544
2645 2717 559525
1226 1924 399424
1214 2351 273679
1256 1600 552247
592 3971 914793
972 1189 356995
2253 2571 254847
1998 2982 648600
938 1363 575299
2267 2389 715479
811 1033 58195
688 2611 868118
113 3824 554468
1775 2144 920076
2098 2391 921019
1536 3421 630207
1673 2884 733129
22 1731 72111
959 2331 141473
1983 3226 647861
388 1462 873246
1076 3657 631856
128 1540 627679
2948 3683 869806
2426 3024 671903
43 313 559323
2602 3196 125347
927 3732 853369
195 3609 134327
1591 1668 541904
1882 3404 194292
3128 3413 167367
2984 3540 893258
2487 3015 612940
1173 1863 427717
1076 2257 736030
751 1211 927577
1294 2099 224503
1488 3820 824464
2499 3507 786406
404 1388 825810
515 3048 33574
2767 3850 245113
25 3217 563951
389 1317 393813
1035 1817 688422
1417 2567 561632
994 1017 262925
1188 1850 380764
2314 3687 540270
442 1072 905658
3234 3489 866524
808 2607 54726
1921 2631 614294
2225 3947 898682
38 1333 128850
812 2749 347769
2444 3743 680785
1592 1721 530325
257 2485 998011
1680 2756 174804
766 914 222292
1721 3642 856898
2720 3994 971880
1014 2218 180178
49 2607 909511
899 3419 928611
668 2214 132353
1806 3935 294296
131 2419 238904
1526 2494 752584
1298 2643 693849
2637 3590 63569
840 1356 655914
1072 2722 518483
1250 2770 45090
20 2761 956860
688 3725 299073
430 2845 367359
2975 3079 26130
1468 1983 815655
2765 2919 190650
768 2706 501286
690 3897 834993
604 968 806066
2217 3440 796835
530 1330 968855
1054 1742 669894
815 1835 580738
527 913 748064
2657 2896 653531
2166 2312 504647
1314 2934 523704
2952 3975 567600
930 2298 640919
364 369 407487
1200 1250 293168
2407 2991 226573
158 301 856408
684 1391 993320
1455 3340 392567
2003 3338 806733
337 3669 446018
41 2620 373992
917 3993 279273
912 1281 647642
751 2832 73243
1590 1920 480234
493 2242 716743
901 3632 633778
1438 2574 257469
775 3141 919823
1111 1874 811491
244 1503 466463
1495 2588 203379
1862 2406 861011
1856 3508 236194
1427 3099 297783
1920 3685 232024
780 3172 136007
1745 2910 241444
379 1238 718218
203 3463 103680
46 3707 405182
2509 2646 706676
507 2241 165433
2714 3604 188941
2165 3799 70367
1582 2201 552638
1959 3333 492162
1966 2242 882258
2973 3411 115495
1981 3175 514958
2014 3572 43016
2081 3196 73661
321 2225 402520
3658 3924 193585
74 951 520101
2008 3671 862302
661 3966 485986
823 2283 992227
2045 3082 671199
26 2929 442725
2039 2239 118297
1255 1586 680729
3269 3810 333401
2141 3820 453676
78 770 277750
180 792 619757
1453 2834 228074
820 2275 722356
1047 1708 376753
599 637 876778
3227 3676 875168
834 1973 777105
102 3054 772915
455 2594 60734
2132 2671 345855
2850 3882 698647
1683 3991 188099
417 2502 822725
2773 3901 968433
851 3878 773421
526 656 752647
176 2851 465480
1282 1904 501933
2359 2549 780878
490 3635 979549
723 1490 650750
137 713 140433
588 1129 967286
253 3314 123538
99 131 280388
1138 1520 913266
1666 2519 624116
352 3299 126371
1847 2285 720729
1481 3164 893570
3065 3322 406292
1815 3459 911356
398 2600 636836
63 2239 821441
161 2129 841923
2032 2870 91412
136 551 445077
604 902 196375
2975 3538 634573
57 3053 304053
1979 2117 583375
284 624 171185
332 3235 771934
1169 1825 691997
2610 3954 932509
885 2823 750541
297 3310 931443
1375 3913 424344
2102 3239 280233
676 3647 247286
1081 1626 337754
808 2601 202389
345 2932 497976
100 632 191800
629 3061 923753
1138 3945 490575
31 594 838236
1968 3474 558148
170 421 325739
756 1448 345385
394 2881 543362
2148 3688 325962
385 890 120894
1016 2866 81345
1996 2666 28758
2772 3485 805054
1699 3516 501647
3341 3936 79966
2436 3863 736387
175 618 621834
1011 1913 556714
1275 3510 640754
399 3590 561490
836 3616 90857
2533 2634 920852
1405 3291 16688
698 3455 96203
2345 3390 639896
1826 2664 555758
2352 3051 640375
264 1237 657385
1891 2304 460894
1480 3410 769645
900 2315 565260
109 1199 72245
490 961 698001
1539 2001 449456
235 2557 164845
2453 2898 435022
1948 2211 69374
2938 3537 445989
675 1840 591879
1601 1921 865710
2852 3566 388376
1179 2960 757575
272 1776 518416
2272 3778 475954
828 1234 648188
2431 3280 115086
1806 1842 129385
1131 3532 312921
1521 1805 255112
1753 3726 596712
3463 3643 415563
1173 3840 802522
1415 2949 194793
2726 3831 609065
137 311 174244
325 2741 497524
546 3411 683717
77 797 856848
1950 2070 707004
1183 3702 695081
1895 3516 590724
1459 3355 508248
333 1121 487196
951 3479 258273
544 1087 754583
1764 3140 657324
664 1174 434221
734 2322 154650
392 1934 780951
938 1574 905004
20 3820 392519
1278 3096 631874
1963 3344 896994
1441 2893 706297
1166 2336 535735
1475 3750 33498
1426 2491 831024
3224 3999 541345
1157 3001 510088
2446 3952 476013
1308 2817 35833
1828 2264 121462
1608 1702 535424
852 3048 988864
1345 2017 123551
1081 2118 81026
2931 3895 391516
246 1955 255091
3598 3653 528599
1741 3902 919044
1209 1755 154213
1940 3036 308476
737 3402 406435
3179 3785 935286
395 1481 669655
2913 3947 364124
973 1844 676019
150 841 588616
284 3802 740213
883 1895 428114
1 279 557323
1940 2492 520358
1693 3321 465447
871 1756 289583
1043 1266 215415
1564 3050 262328
2888 3174 496523
3545 3728 232672
11 161 528474
727 1245 926720
841 1875 870720
719 2516 912659
39 3227 690351
674 1794 255574
2609 3188 597191
2024 2237 838754
352 1763 577641
875 1307 721720
1820 1900 526082
2546 2726 519326
1446 3386 169552
166 2254 598270
825 1480 146660
2153 3528 704806
761 3454 207993
645 3136 358582
3399 3488 520696
714 1040 854002
2760 2965 979821
842 1690 638366
520 3135 774104
2073 3652 944357
695 828 185836
356 3356 480340
161 162 117452
507 806 312587
204 3441 328074
137 1596 693140
707 2140 124104
1901 2313 182146
680 2772 277632
1196 3136 281284
1891 3493 622111
1598 1681 506818
1759 2021 190979
2617 3473 788136
412 2058 620691
839 2194 266286
685 1979 479345
2435 2998 269597
29 581 156368
2566 3164 825564
3008 3850 391806
1040 2313 485403
1484 3060 327513
815 2884 126129
951 3647 756186
485 1642 254732
281 2463 959416
1250 3978 366413
1575 2182 146793
747 2295 41956
211 948 545315
17 3613 326354
1096 1772 381765
1637 2262 829000
3564 3767 980647
305 1205 681131
1837 3389 139946
1814 2806 997547
1571 3740 919728
365 2035 216827
2245 2673 170126
341 2614 401738
385 2695 451185
813 2022 509446
2140 2165 881009
2796 3164 186566
296 2185 208754
594 1342 910568
2493 2912 110659
2573 3628 932693
2653 3400 234938
1527 2993 441903
2039 3617 6287
2803 3203 804660
601 1368 963151
531 1963 237947
881 1178 400131
1635 2123 925472
555 615 696735
3188 3215 860715
260 2939 459367
817 3550 70711
434 1453 21101
93 3588 692304
540 753 946023
257 2854 762905
2204 3734 824083
1721 2335 818557
159 2627 227524
1246 2193 970711
1961 2453 814001
1680 2354 894818
391 3807 131251
251 1845 7190
1355 2501 515729
524 1611 86935
3429 3814 874668
2500 3864 636740
2422 3010 767367
256 1946 893559
1009 2216 948011
248 3010 198365
990 2180 86523
1783 2834 618773
973 1334 116127
1055 2209 541738
1990 3990 649903
1853 3010 324403
626 3751 523412
2923 3118 460019
283 677 478587
1041 3645 554834
1824 3758 275823
2633 3607 179009
931 1406 956694
1885 1985 554903
2326 3975 252892
1336 2231 391096
1438 2634 271722
907 2398 154996
1583 2418 495279
1005 2975 139275
191 3084 949098
14 1716 605056
3375 3473 597987
70 1710 959971
2036 3325 810649
217 266 508336
2899 3665 689773
1649 3739 638679
66 2736 248613
1422 2367 983940
1612 1642 43023
1977 3092 545091
149 1704 108915
1773 2136 850624
1097 2459 344660
1108 1665 240925
1329 1796 380176
1068 3921 285824
155 2600 934241
2873 3566 804014
514 3858 933625
3233 3957 147953
105 324 109656
1240 2240 291780
216 1051 732876
876 2510 234892
306 2154 672573
226 2682 833992
506 3178 874146
3095 3099 837370
2952 3113 830235
1090 2536 318191
1043 2860 906296
451 3052 708887
666 2832 202289
61 1894 680799
399 2953 685456
3080 3878 906033
1870 3937 497562
368 3035 708656
1738 2499 555959
3940 3973 82495
1334 2517 349706
385 813 466508
2052 3217 767173
342 3629 145418
1493 2933 325816
2811 2949 721247
1032 1334 101183
1400 2897 432569
3489 3905 519419
217 3814 295358
2330 3064 424692
1122 3494 533428
1545 3630 396996
2238 3155 264624
82 574 887557
2742 3382 454719
716 3990 283750
1525 3964 281501
2095 3868 285342
436 1514 609155
1225 3499 87484
620 2269 659329
249 3697 873
694 3404 863463
329 1318 411544
1227 3422 363278
3411 3946 591993
49 936 144308
1902 3382 696175
1247 3244 352611
751 2823 712461
587 1091 125433
788 3916 58033
1142 1481 793788
605 3150 478116
377 501 469538
131 674 489300
124 1074 638587
432 2976 349968
960 2571 175567
1923 3322 894389
2736 3908 447480
169 176 368267
1317 2203 570099
2273 3991 801248
2460 3125 981976
350 3256 50650
1650 3379 323723
163 238 599050
1474 2558 645621
2477 3748 105294
1219 2483 65553
699 2652 185728
1206 1318 983044
1548 3769 837316
7 1017 676441
356 2994 863696
1996 2358 507426
2071 2947 751940
1122 1856 809765
333 3095 33512
389 1551 651995
1942 2601 306998
270 3671 540203
390 3067 178102
736 1406 666109
751 1177 22816
1225 3098 221173
1003 1169 932471
944 2642 990327
1736 2709 86659
222 2476 148561
417 569 623513
439 3567 396134
122 3858 36523
593 2576 862280
685 2121 855383
3345 3854 66480
347 1379 852000
1642 1851 294641
178 703 556376
1276 3189 258851
102 1844 467620
1762 3967 368410
101 2235 944267
624 810 548859
1847 3256 891331
2052 2639 802675
1472 3430 339374
1472 1632 253367
114 2161 838069
842 1701 643344
46 1802 837539
1768 3666 727652
76 2220 370238
696 3195 943400
1907 2451 629598
1239 1441 451649
266 2912 663430
736 3640 681062
1201 1360 527574
2042 3429 773275
2087 3126 83076
665 2104 113196
670 2180 743415
2908 3227 526610
1133 2308 841412
2723 3906 26852
2989 3907 182116
2980 3338 642851
339 752 220051
326 3768 470092
1601 3245 684531
261 1030 814634
930 2578 745165
190 1993 420391
955 2497 421876
2367 2755 640950
1220 2661 363938
2350 3336 479270
2539 3101 207608
2590 3427 419727
1034 1379 758971
1917 2760 95584
552 1337 124513
2069 3682 248702
636 2813 411551
1041 3003 242657
574 1991 677317
261 2282 411667
1552 2799 126767
1512 1740 866545
1240 3125 404276
563 1042 339387
147 1945 268724
13 1013 968405
2067 2825 965040
1970 3865 616394
627 2208 949319
489 2297 629579
1964 2040 332729
1083 3551 278820
1142 3981 937945
609 2057 27338
2203 3996 845282
720 3567 169646
1477 1986 420823
2518 3955 537039
934 3264 159246
584 3230 684086
1193 2515 558125
2627 3245 538028
2065 2607 43521
362 3567 833577
3563 3700 520132
282 1334 227698
1759 3333 754035
508 628 994342
243 1547 191275
1146 1178 54856
1584 3693 964048
62 3289 111026
1353 2090 845985
1611 2067 89551
1766 3541 181113
3452 3673 905747
2784 3723 231857
1759 3643 640836
453 1541 265430
2686 3728 538608
270 2584 606300
331 2984 317588
2362 2772 951292
347 734 445358
274 2251 343476
298 3716 7279
21 1463 90062
1672 2131 78056
2583 2860 475596
291 2662 474634
1597 2899 242903
932 1551 887585
3293 3491 946708
2783 3992 463793
494 2594 272419
2309 3970 892716
124 3249 585088
1663 1795 103570
71 655 442504
945 3667 793165
195 2301 243113
1556 1745 756396
1235 1493 444041
201 369 668384
347 862 518977
766 1183 693285
783 1834 613408
2797 2923 27555
2493 2867 576561
1350 2534 525857
1186 2867 414051
1981 2742 880147
234 2729 241733
787 2770 450101
1133 3154 983315
1898 2131 668497
3731 3769 545632
1529 3005 188428
1436 1850 707647
1997 3199 62532
206 2065 727717
397 2609 462458
2756 3126 670692
841 1895 815478
1401 2943 876962
2258 3883 94859
3107 3651 910941
1091 1532 910298
1872 2967 196499
1316 1519 695697
403 1521 750113
120 482 86510
2579 3237 493987
78 1623 900233
1453 3372 973633
1981 2415 749516
1439 1626 437518
919 2530 167401
401 3569 966720
68 2271 412035
117 2673 61907
2231 2792 330388
1093 1722 613977
3080 3696 154406
1148 3313 918129
947 3562 372109
1539 2815 217547
685 2458 516428
439 2026 457180
2446 3159 747450
2562 3546 482474
792 1805 873618
194 1884 899691
1315 2523 231387
628 1281 200534
1926 3410 200448
1092 3519 842338
1418 2128 37147
1847 2566 211525
2076 3027 561970
1621 2830 300531
1656 3778 693675
3274 3971 827910
2845 3318 197225
125 2705 701852
3534 3591 348129
391 3404 369220
821 2730 235347
2667 3877 630265
2046 3402 4340
1227 1724 802313
2608 3234 86090
283 2860 702412
193 2177 781608
881 1770 961732
823 3974 193617
103 1214 333020
1675 3943 113840
171 1375 568859
3640 3925 155256
332 1648 136834
255 2997 996067
889 1439 122926
1082 3851 933454
1459 2851 142686
2825 3543 467509
1160 3279 624722
954 2532 973016
373 2328 33186
1584 2319 533110
840 2650 551110
1674 1999 871364
2093 3437 220253
1372 3288 425686
1098 2826 684888
993 1513 216064
1374 2504 367343
1036 2096 540648
1760 3112 454975
650 3343 773293
534 2113 16294
1223 2559 986292
651 939 285729
1544 2374 133368
1552 3230 310817
471 3064 779809
535 789 766665
230 2884 571700
878 2347 857811
205 3348 161153
1460 1498 669686
1793 3034 520244
437 3973 225246
1868 2166 907620
1450 3886 17171
1920 2704 696586
2806 2865 413374
1530 3388 308609
265 1582 355307
470 3393 586654
898 2319 52114
463 2584 335499
900 3180 275471
427 3417 641339
399 3303 858788
1570 2358 129059
1574 2508 151864
3456 3882 327251
843 1037 195868
150 782 212689
2031 2804 151007
967 3270 59822
146 2770 409073
924 2593 484489
284 1674 452143
3424 3595 622852
483 2102 776426
700 2335 195881
303 3177 969269
523 3326 954402
1212 2482 312433
572 1751 229399
394 520 741896
1467 3465 75172
2308 3748 136845
2804 3172 460440
6 1656 742541
705 2434 429228
1360 2667 796404
1882 3937 232082
2691 3094 806563
17 3124 88313
410 875 929185
2228 3124 604649
887 2648 788748
3493 3690 340271
285 1698 388277
483 3179 117333
407 3150 854692
811 3438 312574
1245 2128 220019
1604 3808 728035
474 2830 412796
1659 2305 683375
952 2660 24261
797 3760 920303
32 1081 994352
259 309 22834
665 1994 717983
1039 1828 565420
1965 3072 35900
1984 3232 925503
2371 3705 12684
1363 3519 522989
374 2894 47940
133 3155 240736
164 3458 78169
824 1810 786427
997 2818 827444
208 2980 997623
753 2172 529046
155 1005 228277
2860 2877 699981
2395 3544 389695
1288 2885 902068
794 2826 58553
604 3914 166716
2083 2765 163892
863 3761 651061
659 3093 999268
197 2282 37439
1201 3328 501945
60 3606 637173
3603 3939 339567
1635 2840 325206
55 1665 101999
1930 2608 622954
365 1677 849719
1579 1921 321479
982 2237 788923
602 870 301119
197 2041 410319
154 338 558378
445 1863 274333
1430 2079 81172
2485 2988 543188
1093 1339 417469
294 3121 782185
1041 2013 423763
2022 3844 202351
768 2623 599220
1015 1887 659769
207 1704 95922
2937 3566 640366
1347 1622 682796
334 3146 125281
1672 2686 542725
156 1965 101845
329 2341 482885
173 2457 853258
808 940 212232
381 2826 597246
150 3384 59301
72 2321 719218
294 791 916564
3440 3939 9249
1220 2125 99272
2632 3945 809589
973 2142 989917
1027 3781 478089
940 2285 63028
1320 2517 45854
115 1469 353237
1893 3768 59909
2683 2986 440203
2621 3902 91642
193 1151 590118
424 489 836750
2013 2631 130074
3657 3930 893854
2294 2372 846793
810 1400 104465
1277 3606 293933
1044 1196 543825
382 1105 10859
283 1660 377832
1434 1654 770024
2209 3773 246512
523 573 425494
854 2949 757151
1155 3225 643796
300 977 264957
582 765 734233
2129 2699 143629
2876 3234 696010
1245 1736 824292
2899 3920 54077
2296 2671 968285
1160 3545 892857
2655 2845 817711
158 3999 220935
298 3954 198263
911 1063 762845
113 3497 816973
3126 3340 420558
1427 3136 13803
1346 3780 721053
1858 3641 99723
801 2143 535619
3353 3807 642463
1064 3964 346813
2351 3917 979110
615 1179 676524
675 3812 732988
1137 3800 692328
1696 3287 81754
3067 3851 795452
904 1276 87092
979 3418 752244
950 3122 700050
537 3765 720365
2578 3240 424281
2040 3854 625812
17 2565 26486
1153 3905 802638
233 3200 133924
2340 3402 877342
305 2144 570617
1236 1635 698387
1833 2584 153508
2235 2348 270045
925 2601 785284
2965 3234 897489
1046 1881 885857
1785 3533 567361
2370 2523 878913
799 1061 834314
2142 3204 670971
791 1111 488605
2975 3850 855541
1210 1711 897888
108 162 995165
1744 3395 126481
441 3585 484713
325 1442 802849
1155 2847 289570
68 3645 26630
2138 2383 842185
1706 3601 306976
2311 3450 722302
1160 1852 755511
93 1619 159672
3362 3610 875419
2443 3298 495859
739 3508 596535
2246 2357 947381
2313 3928 231377
1047 2910 809515
1096 2752 801467
424 1415 872916
2726 3618 726428
62 2590 632046
2614 3671 407760
2033 2465 951057
1972 2244 664148
681 2779 114393
960 2512 697057
2242 3869 246456
109 1316 917207
1576 2091 230621
1169 2492 42239
1272 3758 282652
1671 2723 914323
756 1431 129139
840 2999 895463
1340 2130 16143
85 993 297102
1143 3234 764970
3342 3951 294638
917 1158 676728
132 3761 149896
1032 2723 986005
1375 2702 344728
50 484 617835
1542 1676 301185
1005 3015 507666
1148 3452 184659
946 2250 79892
896 3572 35586
2053 2562 820502
2536 3643 856614
1258 1891 837646
2985 3897 944699
977 3034 585535
575 3164 711210
349 1579 18576
16 3078 622027
675 1679 734972
919 1603 603867
164 505 662272
1360 3806 140807
1697 2326 114417
1945 3972 349401
1024 3273 792786
2436 2559 573713
2121 3136 587643
1049 3151 850721
177 3077 692751
1448 2401 362353
2304 2621 186869
15 893 843026
2052 2341 480722
469 2664 635018
2222 3687 650642
2597 3361 629077
1069 1074 904213
717 2118 983715
1546 3790 52244
894 3946 189691
2566 3247 947994
2468 3810 664009
1495 1862 194349
2569 2682 409364
904 1588 221051
264 582 763999
1660 1689 233068
2225 2757 163185
2292 2899 692730
2536 3792 73027
579 3390 391593
574 1858 343402
935 3352 585615
2272 3636 716297
211 1000 117552
793 2403 582167
2403 2452 683855
1028 3471 42963
3008 3671 993861
2559 3738 745652
765 3137 693394
710 3710 507603
113 996 514954
631 2080 261577
1631 2377 349788
